reference_id,year,volume,first_page,first_author_lastname,article_title,volume_title,journal_title,doi,unstructured,best_score,score_original,score_after_grobid,score_without_year,grobid_attempted,threshold_failed
ref_1,,,,,,,,10.1038/nature11983,,N/A,N/A,N/A,N/A,No,No
ref_2,,,,,,,,10.1016/j.plantsci.2018.01.020,,N/A,N/A,N/A,N/A,No,No
ref_3,,,,,,,,10.1111/j.1439-037X.1996.tb00454.x,,N/A,N/A,N/A,N/A,No,No
ref_4,,,,,,,,10.2135/cropsci1998.0011183X003800060011x,,N/A,N/A,N/A,N/A,No,No
ref_5,,,,,,,,10.1016/j.bmc.2015.11.010,,N/A,N/A,N/A,N/A,No,No
ref_6,,,,,,,,,J. Bruinsma Ed. World Agriculture: Towards 2015/2030: An FAO Perspective (Earthscan 2003).,N/A,N/A,N/A,N/A,No,No
ref_7,,,,,,,,,“Disasters causing billions in agricultural losses with drought leading the way ” Food and Agriculture Organization of the United Nations (15 March 2018); www.fao.org/news/story/en/item/1106977/icode/.,N/A,N/A,N/A,N/A,No,No
ref_8,,,,,,,,,J. Frackenpohl I. Hans-Joachim Zeiss I. Heinemann L. Willms T. Mueller M. Busch P. Von Koskull-Doering C. H. Rosinger J. Dittgen M. J. Hills Use of substituted isoquinolinones isoquinolindiones isoquinolintriones and dihydroisoquinolinones or in each case salts thereof as active agents against abiotic stress in plants U.S. Patent 9173395 (2015); https://patentimages.storage.googleapis.com/85/bf/14/6a7bab7007eff7/US9173395.pdf.,N/A,N/A,N/A,N/A,No,No
ref_9,,,,,,,,,S. R. Cutler S. V. Wendeborn P. J. Jung M. D. Lachia R. Dumeunier Compounds that induce aba responses U.S. Patent 20160280651 (2016); https://patentimages.storage.googleapis.com/3c/8e/a5/53ecd16d2042a7/US20160280651A1.pdf.,N/A,N/A,N/A,N/A,No,No
ref_10,,,,,,,,,S. R. Cutler M. Okamoto Synthetic compounds for vegetative ABA responses U.S. Patent 9345245 (2016); https://patentimages.storage.googleapis.com/0d/77/e5/b485cd4b65b762/US9345245.pdf.,N/A,N/A,N/A,N/A,No,No
ref_11,,,,,,,,10.1093/pcp/pcy126,,N/A,N/A,N/A,N/A,No,No
ref_12,,,,,,,,,M. D. Lachia S. V. Wendeborn P. J. M. Jung D. Sabbadin O. Loiseleur A. Beck 2-oxo-3 4-dihydroquinoline compounds as plant growth regulators U.S. Patent 20180044297 (2018); https://patentimages.storage.googleapis.com/02/4b/ee/fc4a6a0f677484/US20180044297A1.pdf.,N/A,N/A,N/A,N/A,No,No
