reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b0,10.1145/2229012.2229024,2012,Optimal Mechanisms For Selling Information,https://w3id.org/oc/meta/id/06810448749,https://w3id.org/oc/meta/ar/063014179215,,https://w3id.org/oc/meta/br/06303406938,http://purl.org/spar/fabio/ProceedingsPaper
b2,10.1257/mic.20140155,2015-08-01,Selling Cookies,https://w3id.org/oc/meta/id/064201218335,https://w3id.org/oc/meta/ar/062606600579,https://w3id.org/oc/meta/re/062601243162,https://w3id.org/oc/meta/br/062601530093,http://purl.org/spar/fabio/JournalArticle
b3,10.1146/annurev-economics-080315-015439,2019-08-02,Markets For Information: An Introduction,https://w3id.org/oc/meta/id/06790736783,https://w3id.org/oc/meta/ar/061605369605,https://w3id.org/oc/meta/re/061601030102,https://w3id.org/oc/meta/br/061601261719,http://purl.org/spar/fabio/JournalArticle
b4,10.1016/j.jet.2012.12.012,2013-01,When Are Signals Complements Or Substitutes?,https://w3id.org/oc/meta/id/063301287125,https://w3id.org/oc/meta/ar/062201265814,https://w3id.org/oc/meta/re/06220207636,https://w3id.org/oc/meta/br/06220329651,http://purl.org/spar/fabio/JournalArticle
b5,10.1016/0041-5553(67)90040-7,1967-01,The Relaxation Method Of Finding The Common Point Of Convex Sets And Its Application To The Solution Of Problems In Convex Programming,https://w3id.org/oc/meta/id/06180470622,https://w3id.org/oc/meta/ar/061801560751,https://w3id.org/oc/meta/re/06180259286,https://w3id.org/oc/meta/br/061306875,http://purl.org/spar/fabio/JournalArticle
b6,10.1175/1520-0493(1950)078<0001:vofeit>2.0.co;2,1950-01,Verification Of Forecasts Expressed In Terms Of Probability,https://w3id.org/oc/meta/id/06480911902,https://w3id.org/oc/meta/ar/062204070472,https://w3id.org/oc/meta/re/06220742230,https://w3id.org/oc/meta/br/0613019392,http://purl.org/spar/fabio/JournalArticle
b7,10.1257/0002828054825493,2005-08-01,Optimal Expectations,https://w3id.org/oc/meta/id/06305882635,https://w3id.org/oc/meta/ar/06805254711,https://w3id.org/oc/meta/re/0680977224,https://w3id.org/oc/meta/br/06801214172,http://purl.org/spar/fabio/JournalArticle
b8,10.1257/aer.103.1.360,2013-02-01,Entropy And The Value Of Information For Investors,https://w3id.org/oc/meta/id/06406303410,https://w3id.org/oc/meta/ar/061805037114,https://w3id.org/oc/meta/re/06180957257,https://w3id.org/oc/meta/br/061801186712,http://purl.org/spar/fabio/JournalArticle
b9,10.1162/003355301556347,2001-02-01,Psychological Expected Utility Theory And Anticipatory Feelings,https://w3id.org/oc/meta/id/06320726349,https://w3id.org/oc/meta/ar/0626014053038,https://w3id.org/oc/meta/re/062602509529,https://w3id.org/oc/meta/br/062603519555,http://purl.org/spar/fabio/JournalArticle
b10,10.3390/e10030261,2008-09-19,Axiomatic Characterizations Of Information Measures,https://w3id.org/oc/meta/id/061701706870,https://w3id.org/oc/meta/ar/061707261026,https://w3id.org/oc/meta/re/061701386898,https://w3id.org/oc/meta/br/061701679619,http://purl.org/spar/fabio/JournalArticle
b11,10.1086/677350,2015-02,Suspense And Surprise,https://w3id.org/oc/meta/id/06602953774,https://w3id.org/oc/meta/ar/066013393704,https://w3id.org/oc/meta/re/06602296878,https://w3id.org/oc/meta/br/06603167530,http://purl.org/spar/fabio/JournalArticle
b12,10.1257/aer.104.5.457,2014-05-01,Costly Persuasion,https://w3id.org/oc/meta/id/062401212260,https://w3id.org/oc/meta/ar/062405109015,https://w3id.org/oc/meta/re/06240939832,https://w3id.org/oc/meta/br/062401162787,http://purl.org/spar/fabio/JournalArticle
b13,10.1016/j.geb.2017.05.004,2017-07,Bayesian Persuasion With Multiple Senders And Rich Signal Spaces,https://w3id.org/oc/meta/id/06770567462,https://w3id.org/oc/meta/ar/06905908717,https://w3id.org/oc/meta/re/06901108560,https://w3id.org/oc/meta/br/06901368131,http://purl.org/spar/fabio/JournalArticle
b14,10.1198/016214506000001437,2007-03,"Strictly Proper Scoring Rules, Prediction, And Estimation",https://w3id.org/oc/meta/id/06820402831,https://w3id.org/oc/meta/ar/062606529491,https://w3id.org/oc/meta/re/062601230388,https://w3id.org/oc/meta/br/062601514433,http://purl.org/spar/fabio/JournalArticle
b15,10.1111/j.2517-6161.1952.tb00104.x,1952-01,Rational Decisions,https://w3id.org/oc/meta/id/062301354657,https://w3id.org/oc/meta/ar/062305629855,https://w3id.org/oc/meta/re/062301063519,https://w3id.org/oc/meta/br/0625027759,http://purl.org/spar/fabio/JournalArticle
b16,10.1016/j.jet.2018.08.003,2018-09,On The Cost Of Misperception: General Results And Behavioral Applications,https://w3id.org/oc/meta/id/06210397588,https://w3id.org/oc/meta/ar/062101261536,https://w3id.org/oc/meta/re/06210208717,https://w3id.org/oc/meta/br/06210335356,http://purl.org/spar/fabio/JournalArticle
b17,10.1257/aer.101.6.2590,2011-10-01,Bayesian Persuasion,https://w3id.org/oc/meta/id/06301242441,https://w3id.org/oc/meta/ar/06305195531,https://w3id.org/oc/meta/re/0630963054,https://w3id.org/oc/meta/br/06301198964,http://purl.org/spar/fabio/JournalArticle
b18,10.1002/j.1538-7305.1956.tb03809.x,1956-07,A New Interpretation Of Information Rate,https://w3id.org/oc/meta/id/062302604824,https://w3id.org/oc/meta/ar/0623011311432,https://w3id.org/oc/meta/re/062302059509,https://w3id.org/oc/meta/br/0623060095,http://purl.org/spar/fabio/JournalArticle
b19,10.1214/aos/1176350818,1988-06-01,Comparing Location Experiments,https://w3id.org/oc/meta/id/06750747715,https://w3id.org/oc/meta/ar/062205901191,,https://w3id.org/oc/meta/br/0611030613,http://purl.org/spar/fabio/JournalArticle
b20,10.1111/1468-0262.00096,2000-01,Information Acquisition In Auctions,https://w3id.org/oc/meta/id/06470893259,https://w3id.org/oc/meta/ar/061806751206,https://w3id.org/oc/meta/re/061801292250,https://w3id.org/oc/meta/br/0624032767,http://purl.org/spar/fabio/JournalArticle
b21,10.1214/aos/1176347398,1989-12-01,A General Method For Comparing Probability Assessors,https://w3id.org/oc/meta/id/06470822285,https://w3id.org/oc/meta/ar/062305821435,,https://w3id.org/oc/meta/br/0611030596,http://purl.org/spar/fabio/JournalArticle
b22,10.1016/s0304-3932(03)00029-1,2003-04,Implications Of Rational Inattention,https://w3id.org/oc/meta/id/06410872961,https://w3id.org/oc/meta/ar/0622012024388,https://w3id.org/oc/meta/re/062202222882,https://w3id.org/oc/meta/br/062202851989,http://purl.org/spar/fabio/JournalArticle
b23,10.3982/ecta13636,2017,Rational Inattention Dynamics: Inertia And Delay In Decision-Making,https://w3id.org/oc/meta/id/062605532944,https://w3id.org/oc/meta/ar/06706867357,https://w3id.org/oc/meta/re/06701286889,https://w3id.org/oc/meta/br/06701566866,http://purl.org/spar/fabio/JournalArticle
