reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b0,10.1016/j.jhazmat.2016.04.011,2016-08,In Situ Loading Of Ag2WO4 On Ultrathin g-C3N4 Nanosheets With Highly Enhanced Photocatalytic Performance,https://w3id.org/oc/meta/id/062701313660,https://w3id.org/oc/meta/ar/0614010466642,https://w3id.org/oc/meta/re/061401910964,https://w3id.org/oc/meta/br/061402382007,http://purl.org/spar/fabio/JournalArticle
b1,10.1016/j.apcatb.2018.09.097,2019-03,Well-designed ZnV2O6/g-C3N4 2D/2D Nanosheets Heterojunction With Faster Charges Separation Via pCN As Mediator Towards Enhanced Photocatalytic Reduction Of CO2 To Fuels,https://w3id.org/oc/meta/id/06503223657,https://w3id.org/oc/meta/ar/065014469326,https://w3id.org/oc/meta/re/06502500848,https://w3id.org/oc/meta/br/061063852,http://purl.org/spar/fabio/JournalArticle
b2,10.1016/j.apsusc.2018.08.181,2018-12,Boosting Photocatalytic Activity Of WO3 Nanorods With Tailored Surface Oxygen Vacancies For Selective Alcohol Oxidations,https://w3id.org/oc/meta/id/0680941951,https://w3id.org/oc/meta/ar/06803802242,https://w3id.org/oc/meta/re/0680691500,https://w3id.org/oc/meta/br/0611019393,http://purl.org/spar/fabio/JournalArticle
b3,10.1002/smll.201701552,2017-07-10,Preparation Of Carbon-Rich g-C3N4 Nanosheets With Enhanced Visible Light Utilization For Efficient Photocatalytic Hydrogen Production,https://w3id.org/oc/meta/id/06330483982,https://w3id.org/oc/meta/ar/064010409795,https://w3id.org/oc/meta/re/06401831380,https://w3id.org/oc/meta/br/061046813,http://purl.org/spar/fabio/JournalArticle
b4,10.1021/acscatal.8b03737,2018-11-07,Single Nickel Atoms Anchored On Nitrogen-Doped Graphene As A Highly Active Cocatalyst For Photocatalytic H2 Evolution,https://w3id.org/oc/meta/id/06902190921,https://w3id.org/oc/meta/ar/06909633501,https://w3id.org/oc/meta/re/06901796345,https://w3id.org/oc/meta/br/06902183959,http://purl.org/spar/fabio/JournalArticle
b5,10.1038/238037a0,1972-07,Electrochemical Photolysis Of Water At A Semiconductor Electrode,https://w3id.org/oc/meta/id/06250425864,https://w3id.org/oc/meta/ar/062501320363,https://w3id.org/oc/meta/re/06250233541,https://w3id.org/oc/meta/br/0626014847,http://purl.org/spar/fabio/JournalArticle
b6,10.1039/c8dt04496a,2019,An Inverse Opal TiO2/g-C3N4 Composite With A Heterojunction For Enhanced Visible Light-Driven Photocatalytic Activity,https://w3id.org/oc/meta/id/06160491858,https://w3id.org/oc/meta/ar/061601648187,https://w3id.org/oc/meta/re/06160282055,https://w3id.org/oc/meta/br/06160433939,http://purl.org/spar/fabio/JournalArticle
b7,10.1039/c2nr33004k,2013,Non-noble Metal Cu-loaded TiO2for Enhanced Photocatalytic H2production,https://w3id.org/oc/meta/id/06190771108,https://w3id.org/oc/meta/ar/061902990074,https://w3id.org/oc/meta/re/06190536494,https://w3id.org/oc/meta/br/0626021601,http://purl.org/spar/fabio/JournalArticle
b8,10.1039/c7cp01300k,2017,Band Alignment Investigations Of Heterostructure NiO/TiO2 Nanomaterials Used As Efficient Heterojunction Earth-Abundant Metal Oxide Photocatalysts For Hydrogen Production,https://w3id.org/oc/meta/id/061504255848,https://w3id.org/oc/meta/ar/062502043264,https://w3id.org/oc/meta/re/06250358846,https://w3id.org/oc/meta/br/064010072,http://purl.org/spar/fabio/JournalArticle
