reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b1,10.1016/j.applanim.2012.11.013,2013-01,The Correlation Of Qualitative Behavior Assessments With Welfare Quality® Protocol Outcomes In On-Farm Welfare Assessment Of Dairy Cattle,https://w3id.org/oc/meta/id/06150841760,https://w3id.org/oc/meta/ar/061503336340,https://w3id.org/oc/meta/re/06150607588,https://w3id.org/oc/meta/br/06150791089,http://purl.org/spar/fabio/JournalArticle
b2,10.1136/vr.104554,2018-01,Does Access To Pasture Affect Claw Condition And Health In Dairy Cows?,https://w3id.org/oc/meta/id/06801484231,https://w3id.org/oc/meta/ar/06806380360,https://w3id.org/oc/meta/re/06801188348,https://w3id.org/oc/meta/br/06801454160,http://purl.org/spar/fabio/JournalArticle
b3,10.1017/s1751731112002297,2013,Effect Of Grazing On The Cow Welfare Of Dairy Herds Evaluated By A Multidimensional Welfare Index,https://w3id.org/oc/meta/id/0627061858,https://w3id.org/oc/meta/ar/06270311759,https://w3id.org/oc/meta/re/0627054543,https://w3id.org/oc/meta/br/0627064428,http://purl.org/spar/fabio/JournalArticle
b4,10.1017/s1751731112001395,2013,Daily Grazing Time As A Risk Factor For Alterations At The Hock Joint Integument In Dairy Cows,https://w3id.org/oc/meta/id/0627061950,https://w3id.org/oc/meta/ar/06270312341,https://w3id.org/oc/meta/re/0627054635,https://w3id.org/oc/meta/br/0627064433,http://purl.org/spar/fabio/JournalArticle
b5,10.1016/j.tvjl.2013.10.011,2014-01,Does Milk Yield Reflect The Level Of Welfare In Dairy Herds?,https://w3id.org/oc/meta/id/061801868885,https://w3id.org/oc/meta/ar/061808025650,https://w3id.org/oc/meta/re/061801534359,https://w3id.org/oc/meta/br/061801846646,http://purl.org/spar/fabio/JournalArticle
b6,10.7120/09627286.27.2.157,2018-05-01,Sensitivity Of The Integrated Welfare Quality® Scores To Changing Values Of Individual Dairy Cattle Welfare Measures,https://w3id.org/oc/meta/id/06305945350,https://w3id.org/oc/meta/ar/063014245900,https://w3id.org/oc/meta/re/06302435784,https://w3id.org/oc/meta/br/06303442203,http://purl.org/spar/fabio/JournalArticle
b7,10.7120/09627286.26.2.213,2017-05-01,Assessing Dairy Cow Welfare At The Beginning And End Of The Indoor Period Using The Welfare Quality® Protocol,https://w3id.org/oc/meta/id/06305945263,https://w3id.org/oc/meta/ar/063014246073,https://w3id.org/oc/meta/re/06302435818,https://w3id.org/oc/meta/br/06303442208,http://purl.org/spar/fabio/JournalArticle
b8,10.3168/jds.2012-6129,2013-10,Evaluating Results Of The Welfare Quality Multi-Criteria Evaluation Model For Classification Of Dairy Cattle Welfare At The Herd Level,https://w3id.org/oc/meta/id/062203557778,https://w3id.org/oc/meta/ar/0622010906672,https://w3id.org/oc/meta/re/062201989304,https://w3id.org/oc/meta/br/062202580963,http://purl.org/spar/fabio/JournalArticle
b9,10.1016/j.prevetmed.2009.03.014,2009-07,Risk Factors For Lameness In Cubicle Housed Austrian Simmental Dairy Cows,https://w3id.org/oc/meta/id/0670515010,https://w3id.org/oc/meta/ar/06701728866,https://w3id.org/oc/meta/re/0670300842,https://w3id.org/oc/meta/br/0670451482,http://purl.org/spar/fabio/JournalArticle
