reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b0,10.1111/jofi.12021,2013-05-20,Value And Momentum Everywhere,https://w3id.org/oc/meta/id/062501212638,https://w3id.org/oc/meta/ar/062505151935,https://w3id.org/oc/meta/re/06250945586,https://w3id.org/oc/meta/br/062501161950,http://purl.org/spar/fabio/JournalArticle
b2,10.1146/annurev-financial-102710-144913,2011-12-01,Carry Trade And Momentum In Currency Markets,https://w3id.org/oc/meta/id/06790736484,https://w3id.org/oc/meta/ar/061605369253,https://w3id.org/oc/meta/re/061601029974,https://w3id.org/oc/meta/br/061601262648,http://purl.org/spar/fabio/JournalArticle
b3,10.1016/j.jbankfin.2004.06.028,2005-06,Stock Market Returns: A Note On Temperature Anomaly,https://w3id.org/oc/meta/id/06290956487,https://w3id.org/oc/meta/ar/0626011954773,https://w3id.org/oc/meta/re/062602206406,https://w3id.org/oc/meta/br/062602856351,http://purl.org/spar/fabio/JournalArticle
b4,10.1016/j.jbankfin.2007.12.007,2008-09,Weather And Intraday Patterns In Stock Returns And Trading Activity,https://w3id.org/oc/meta/id/06370751922,https://w3id.org/oc/meta/ar/0626011952618,https://w3id.org/oc/meta/re/062602205736,https://w3id.org/oc/meta/br/062602856301,http://purl.org/spar/fabio/JournalArticle
b6,10.2139/ssrn.2906600,2017,Business Cycles And The Cross-Section Of Currency Returns,https://w3id.org/oc/meta/id/06240373143,https://w3id.org/oc/meta/ar/062401111425,,https://w3id.org/oc/meta/br/061205167,http://purl.org/spar/fabio/JournalArticle
b7,10.1037/0022-3514.37.11.1947,1979-11,"Weather, Mood, And Helping Behavior: Quasi Experiments With The Sunshine Samaritan.",https://w3id.org/oc/meta/id/0633037022,https://w3id.org/oc/meta/ar/06330168184,https://w3id.org/oc/meta/re/0633033092,https://w3id.org/oc/meta/br/0611018109,http://purl.org/spar/fabio/JournalArticle
b8,10.1111/0022-1082.00077,1998-12,Investor Psychology And Security Market Under- And Overreactions,https://w3id.org/oc/meta/id/06401227897,https://w3id.org/oc/meta/ar/06405121414,https://w3id.org/oc/meta/re/0640946302,https://w3id.org/oc/meta/br/0616030522,http://purl.org/spar/fabio/JournalArticle
b9,10.1016/j.irfa.2004.10.003,2005-01,"Weather, Biorhythms, Beliefs And Stock returns—Some Preliminary Irish Evidence",https://w3id.org/oc/meta/id/06970464741,https://w3id.org/oc/meta/ar/0614013037285,https://w3id.org/oc/meta/re/061402366548,https://w3id.org/oc/meta/br/062062287,http://purl.org/spar/fabio/JournalArticle
b10,10.1016/j.mulfin.2007.06.002,2008-04,Robust Global Mood Influences In Equity Pricing,https://w3id.org/oc/meta/id/0664078131,https://w3id.org/oc/meta/ar/0616012112477,https://w3id.org/oc/meta/re/061602236710,https://w3id.org/oc/meta/br/061602863367,http://purl.org/spar/fabio/JournalArticle
b11,10.1111/1540-6261.00556,2003-05-06,Good Day Sunshine: Stock Returns And The Weather,https://w3id.org/oc/meta/id/06560929021,https://w3id.org/oc/meta/ar/06405121088,https://w3id.org/oc/meta/re/0640946199,https://w3id.org/oc/meta/br/0616030527,http://purl.org/spar/fabio/JournalArticle
b12,10.1111/j.2044-8295.1984.tb02785.x,1984-02,A Multidimensional Approach To The Relationship Between Mood And Weather,https://w3id.org/oc/meta/id/06660197049,https://w3id.org/oc/meta/ar/061102140116,https://w3id.org/oc/meta/re/06110378372,https://w3id.org/oc/meta/br/069014227,http://purl.org/spar/fabio/JournalArticle
