Type,Reference ID,DOI,File
Missed Matches:
missed,b27,10.18174/402122,AGR-BIO-SCI_1
missed,b28,10.1007/s004420100716,AGR-BIO-SCI_3
missed,b29,10.1016/b978-0-444-53868-0.50018-6,AGR-BIO-SCI_3
missed,b15,10.1603/0046-225x-33.5.1282,AGR-BIO-SCI_3
missed,b44,10.12688/f1000research.11813.1,AGR-BIO-SCI_3
missed,b14,10.1111/j.1469-7998.1985.tb05640.x,AGR-BIO-SCI_3
missed,b30,10.1111/j.1461-0248.2012.01826.x,AGR-BIO-SCI_3
missed,b35,10.1111/j.0014-3820.2006.tb01858.x,AGR-BIO-SCI_3
missed,b47,10.1111/1365-2656.12218,AGR-BIO-SCI_3
missed,b25,10.1111/oik.04712,AGR-BIO-SCI_3
missed,b40,10.1016/j.baae.2014.03.007,AGR-BIO-SCI_3
missed,b21,10.1111/1365-2435.12058,AGR-BIO-SCI_3
missed,b32,10.1890/12-1936.1,AGR-BIO-SCI_3
missed,b51,10.1111/j.0030-1299.2008.15972.x,AGR-BIO-SCI_3
missed,b27,10.1111/1365-2435.12849,AGR-BIO-SCI_3
missed,b2,10.1111/1365-2656.12834,AGR-BIO-SCI_3
missed,b11,10.1111/1365-2435.12362,AGR-BIO-SCI_3
missed,b3,10.1111/1365-2435.12943,AGR-BIO-SCI_3
missed,b33,10.1111/j.1365-2656.2008.01462.x,AGR-BIO-SCI_3
missed,b4,10.1890/03-9000,AGR-BIO-SCI_3
missed,b52,10.1111/j.0030-1299.2007.15559.x,AGR-BIO-SCI_3
missed,b7,10.1007/s12080-015-0281-9,AGR-BIO-SCI_3
missed,b6,10.1139/x00-014,AGR-BIO-SCI_3
missed,b18,10.1111/2041-210x.12103,AGR-BIO-SCI_3
missed,b1,10.2307/1313226,AGR-BIO-SCI_3
missed,b8,10.1016/j.soilbio.2014.05.009,AGR-BIO-SCI_3
missed,b20,10.1007/s00442-012-2290-3,AGR-BIO-SCI_3
missed,b9,10.1111/j.1469-185x.2010.00138.x,AGR-BIO-SCI_3
missed,b54,10.1016/0022-1910(89)90096-6,AGR-BIO-SCI_3
missed,b5,10.1016/j.soilbio.2016.06.033,AGR-BIO-SCI_3
missed,b19,10.1098/rstb.2015.0268,AGR-BIO-SCI_3
missed,b34,10.1111/1365-2435.12776,AGR-BIO-SCI_3
missed,b38,10.1007/s004420100720,AGR-BIO-SCI_3
missed,b10,10.1111/geb.12193,AGR-BIO-SCI_3
missed,b36,10.1111/oik.02788,AGR-BIO-SCI_3
missed,b16,10.1111/1365-2664.12530,AGR-BIO-SCI_3
missed,b31,10.1111/j.1365-2745.2004.00838.x,AGR-BIO-SCI_3
missed,b49,10.1086/303208,AGR-BIO-SCI_3
missed,b23,10.2307/3235676,AGR-BIO-SCI_3
missed,b24,10.1111/j.1463-6409.1990.tb00255.x,AGR-BIO-SCI_3
missed,b46,10.1111/j.1095-8312.1979.tb00063.x,AGR-BIO-SCI_3
missed,b42,10.1111/1365-2745.12211,AGR-BIO-SCI_3
missed,b26,10.1111/jvs.12083,AGR-BIO-SCI_3
missed,b0,10.1111/1365-2435.12666,AGR-BIO-SCI_3
missed,b43,10.2307/1942161,AGR-BIO-SCI_3
missed,b50,10.1111/j.1469-7998.2009.00628.x,AGR-BIO-SCI_3
missed,b53,10.1111/ele.12865,AGR-BIO-SCI_3
missed,b29,10.1177/10298649040070s103,ART-HUM_5
missed,b34,10.1080/02699930302279,ART-HUM_5
missed,b5,10.1093/aesthj/ayn019,ART-HUM_6
missed,b10,10.1080/09552360120048843,ART-HUM_6
missed,b2,10.4324/9780203522653,ART-HUM_6
missed,b8,10.1177/1477878517695903,ART-HUM_6
missed,b26,10.5406/jaesteduc.49.1.0068,ART-HUM_6
missed,b23,10.1111/j.1467-8527.2005.00295.x,ART-HUM_6
missed,b28,10.1093/acprof:oso/9780190655846.001.0001,ART-HUM_6
missed,b22,10.1057/9781137303394,ART-HUM_6
missed,b12,10.4324/9781315708508,ART-HUM_6
missed,b16,10.1080/02549948.1998.11731311,ART-HUM_6
